Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Vrisabhavathi Nagar,27199,26940,17322,14909,14631,9475,0.991,0.643,0.861,0.981,5149,0.352,0.348,1145896,6.27,110.72,65907
Rajeshwari Nagar,28779,28581,18659,14870,14391,9020,0.993,0.653,0.797,0.968,5365,0.373,0.313,1082889,6.25,112,62331
Muneshwara Nagar,34615,34416,25294,15178,15016,8025,0.994,0.735,0.6,0.989,6985,0.465,0.232,967405,6.62,122.02,53837
Jagajivanaram Nagar,26740,26526,19388,13672,13471,6957,0.992,0.731,0.705,0.985,6512,0.483,0.26,932470,9.07,155.48,53891
Lakshmi Devi Nagar,19623,19467,12660,10597,10356,6580,0.992,0.65,0.837,0.977,3774,0.364,0.335,784021,7.66,133.48,44959
S K Garden,28317,28182,21614,11877,11800,6492,0.995,0.767,0.549,0.994,5305,0.45,0.229,817438,7.25,132.63,45511
Chalavadipalya,23758,23618,17271,11491,11350,6328,0.994,0.731,0.665,0.988,5013,0.442,0.266,814489,6.59,121.66,46499
Padarayanapura,20946,20772,14648,10189,9934,5098,0.992,0.705,0.696,0.975,4830,0.486,0.243,711850,8.93,157.83,40182
Bapuji Nagar,18887,18768,12466,9740,9629,5074,0.994,0.664,0.781,0.989,4552,0.473,0.269,634454,6.99,128.51,36059
Kempapura Agrahara,16628,16463,11059,8049,7934,4452,0.99,0.672,0.728,0.986,3479,0.439,0.268,520021,6.26,112.07,29348
Devaraj Urs Nagar,17831,17746,12387,8865,8724,4040,0.995,0.698,0.716,0.984,4683,0.537,0.227,507415,5.45,97.72,28547
Devara Jeevanahalli,9611,9548,7245,3770,3730,1407,0.993,0.759,0.52,0.989,2323,0.623,0.146,190579,5.9,114,10687
Bangalore Total,67334064,66443051,52916372,30017755,29453513,18628581,0.987,0.796,0.567,0.981,10817296,0.367,0.277,2679910491,8.16,143.86,152007679
